Step 88 (9.1 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 89 (8.5 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 90 (8.6 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 91 (8.7 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 92 (8.0 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 93 (7.4 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 94 (7.7 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 95 (8.4 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 96 (9.2 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 97 (9.8 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 98 (9.5 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 99 (4.7 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 100 (7.8 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 101 (8.9 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 102 (9.1 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 103 (8.9 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 104 (9.0 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 105 (8.9 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 106 (8.9 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 107 (8.8 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 108 (9.7 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
