Step 82 (8.9 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 2.21 km/h, 0% other lane, 0% off-road
Step 83 (8.0 FPS): Map Position (1748.0,888.0) Lane Orientation (-1.0,-0.0) 5.33 km/h, 0% other lane, 0% off-road
Step 84 (8.6 FPS): Map Position (1747.0,888.0) Lane Orientation (-1.0,-0.0) 7.25 km/h, 0% other lane, 0% off-road
Step 85 (7.8 FPS): Map Position (1746.0,888.0) Lane Orientation (-1.0,-0.0) 7.94 km/h, 0% other lane, 0% off-road
Step 86 (8.7 FPS): Map Position (1744.0,888.0) Lane Orientation (-1.0,-0.0) 8.78 km/h, 0% other lane, 0% off-road
Step 87 (8.4 FPS): Map Position (1743.0,888.0) Lane Orientation (-1.0,-0.0) 10.13 km/h, 0% other lane, 0% off-road
Step 88 (8.8 FPS): Map Position (1741.0,888.0) Lane Orientation (-1.0,-0.0) 11.71 km/h, 0% other lane, 0% off-road
Step 89 (9.2 FPS): Map Position (1739.0,888.0) Lane Orientation (-1.0,-0.0) 13.37 km/h, 0% other lane, 0% off-road
Step 90 (7.4 FPS): Map Position (1736.0,888.0) Lane Orientation (-1.0,-0.0) 14.72 km/h, 0% other lane, 0% off-road
Step 91 (8.9 FPS): Map Position (1734.0,888.0) Lane Orientation (-1.0,-0.0) 14.77 km/h, 0% other lane, 0% off-road
Step 92 (9.0 FPS): Map Position (1732.0,888.0) Lane Orientation (-1.0,-0.0) 13.96 km/h, 0% other lane, 0% off-road
Step 93 (8.2 FPS): Map Position (1729.0,888.0) Lane Orientation (-1.0,-0.0) 12.84 km/h, 0% other lane, 0% off-road
Step 94 (9.4 FPS): Map Position (1727.0,888.0) Lane Orientation (-1.0,-0.0) 11.79 km/h, 0% other lane, 0% off-road
Step 95 (8.6 FPS): Map Position (1725.0,888.0) Lane Orientation (-1.0,-0.0) 11.79 km/h, 0% other lane, 0% off-road
Step 96 (8.3 FPS): Map Position (1723.0,888.0) Lane Orientation (-1.0,-0.0) 12.57 km/h, 0% other lane, 0% off-road
Step 97 (8.3 FPS): Map Position (1721.0,887.0) Lane Orientation (-1.0,-0.0) 13.64 km/h, 0% other lane, 0% off-road
Step 98 (7.1 FPS): Map Position (1719.0,887.0) Lane Orientation (-1.0,-0.0) 13.54 km/h, 0% other lane, 0% off-road
Step 99 (8.6 FPS): Map Position (1716.0,887.0) Lane Orientation (-1.0,-0.0) 12.73 km/h, 0% other lane, 0% off-road
Step 100 (9.0 FPS): Map Position (1714.0,887.0) Lane Orientation (-1.0,-0.0) 11.84 km/h, 0% other lane, 0% off-road
Step 101 (8.2 FPS): Map Position (1712.0,887.0) Lane Orientation (-1.0,-0.0) 11.92 km/h, 0% other lane, 0% off-road
Step 102 (9.0 FPS): Map Position (1710.0,887.0) Lane Orientation (-1.0,-0.0) 12.34 km/h, 0% other lane, 0% off-road
Step 103 (9.3 FPS): Map Position (1708.0,887.0) Lane Orientation (-1.0,-0.0) 12.12 km/h, 0% other lane, 0% off-road
Step 104 (8.4 FPS): Map Position (1706.0,887.0) Lane Orientation (-1.0,-0.0) 11.32 km/h, 0% other lane, 0% off-road
Step 105 (9.8 FPS): Map Position (1704.0,887.0) Lane Orientation (-1.0,-0.0) 10.47 km/h, 0% other lane, 0% off-road
Step 106 (8.3 FPS): Map Position (1703.0,886.0) Lane Orientation (-1.0,-0.0) 10.64 km/h, 0% other lane, 0% off-road
Step 107 (8.7 FPS): Map Position (1701.0,886.0) Lane Orientation (-1.0,-0.0) 11.71 km/h, 0% other lane, 0% off-road
Step 108 (9.3 FPS): Map Position (1699.0,886.0) Lane Orientation (-1.0,-0.0) 13.15 km/h, 0% other lane, 0% off-road
Step 109 (9.8 FPS): Map Position (1696.0,886.0) Lane Orientation (-1.0,-0.0) 14.73 km/h, 0% other lane, 0% off-road
Step 110 (9.6 FPS): Map Position (1694.0,886.0) Lane Orientation (-1.0,-0.0) 16.10 km/h, 0% other lane, 0% off-road
Step 111 (9.2 FPS): Map Position (1691.0,886.0) Lane Orientation (-1.0,-0.0) 17.47 km/h, 0% other lane, 0% off-road
Step 112 (8.4 FPS): Map Position (1688.0,886.0) Lane Orientation (-1.0,-0.0) 17.55 km/h, 0% other lane, 0% off-road
Step 113 (9.2 FPS): Map Position (1685.0,886.0) Lane Orientation (-1.0,-0.0) 16.68 km/h, 0% other lane, 0% off-road
Step 114 (9.3 FPS): Map Position (1682.0,886.0) Lane Orientation (-1.0,-0.0) 15.63 km/h, 0% other lane, 0% off-road
Step 115 (9.1 FPS): Map Position (1680.0,886.0) Lane Orientation (-1.0,-0.0) 15.44 km/h, 0% other lane, 0% off-road
Step 116 (10.2 FPS): Map Position (1677.0,886.0) Lane Orientation (-1.0,-0.0) 16.21 km/h, 0% other lane, 0% off-road
Step 117 (9.1 FPS): Map Position (1674.0,886.0) Lane Orientation (-1.0,-0.0) 17.14 km/h, 0% other lane, 0% off-road
Step 118 (9.3 FPS): Map Position (1671.0,886.0) Lane Orientation (-1.0,-0.0) 18.26 km/h, 0% other lane, 0% off-road
Step 119 (9.6 FPS): Map Position (1668.0,886.0) Lane Orientation (-1.0,-0.0) 18.19 km/h, 0% other lane, 0% off-road
Step 120 (9.5 FPS): Map Position (1665.0,886.0) Lane Orientation (-1.0,-0.0) 17.22 km/h, 0% other lane, 0% off-road
Step 121 (8.4 FPS): Map Position (1662.0,886.0) Lane Orientation (-1.0,-0.0) 16.09 km/h, 0% other lane, 0% off-road
Step 122 (8.6 FPS): Map Position (1660.0,886.0) Lane Orientation (-1.0,-0.0) 15.64 km/h, 0% other lane, 0% off-road
Step 123 (9.2 FPS): Map Position (1657.0,887.0) Lane Orientation (-1.0,-0.0) 15.72 km/h, 0% other lane, 0% off-road
Step 124 (9.5 FPS): Map Position (1654.0,888.0) Lane Orientation (-1.0,-0.0) 16.79 km/h, 0% other lane, 0% off-road
Step 125 (9.0 FPS): Map Position (1651.0,888.0) Lane Orientation (-1.0,-0.0) 16.89 km/h, 0% other lane, 0% off-road
Step 126 (8.2 FPS): Map Position (1649.0,889.0) Lane Orientation (-1.0,-0.0) 16.60 km/h, 0% other lane, 0% off-road
Step 127 (9.9 FPS): Map Position (1646.0,889.0) Lane Orientation (-1.0,-0.0) 15.62 km/h, 0% other lane, 0% off-road
Step 128 (8.6 FPS): Map Position (1643.0,889.0) Lane Orientation (-1.0,-0.0) 14.55 km/h, 0% other lane, 0% off-road
Step 129 (8.0 FPS): Map Position (1641.0,890.0) Lane Orientation (-1.0,-0.0) 14.40 km/h, 0% other lane, 0% off-road
Step 130 (9.0 FPS): Map Position (1639.0,890.0) Lane Orientation (-1.0,-0.0) 15.01 km/h, 0% other lane, 0% off-road
Step 131 (10.0 FPS): Map Position (1636.0,890.0) Lane Orientation (-1.0,-0.0) 15.96 km/h, 0% other lane, 0% off-road
