Step 114 (9.6 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 115 (8.0 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 116 (8.5 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 117 (10.6 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 118 (9.5 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 119 (9.0 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 120 (6.8 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 121 (6.9 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 122 (7.0 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 123 (8.3 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 124 (9.1 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 125 (9.1 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 126 (8.2 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 127 (9.5 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 128 (8.1 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 129 (9.0 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 130 (8.7 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 131 (9.0 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 132 (4.4 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 133 (22.5 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 134 (9.8 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 135 (8.9 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 136 (8.9 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 137 (9.4 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 138 (8.3 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 139 (8.2 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 140 (8.8 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 141 (9.3 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 142 (8.6 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 143 (9.5 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 144 (8.8 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 145 (9.3 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 146 (7.8 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 147 (8.9 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 148 (8.7 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 149 (9.2 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 1.82 km/h, 0% other lane, 0% off-road
Step 150 (8.9 FPS): Map Position (1748.0,888.0) Lane Orientation (-1.0,-0.0) 4.58 km/h, 0% other lane, 0% off-road
Step 151 (8.4 FPS): Map Position (1747.0,888.0) Lane Orientation (-1.0,-0.0) 6.63 km/h, 0% other lane, 0% off-road
Step 152 (8.4 FPS): Map Position (1746.0,888.0) Lane Orientation (-1.0,-0.0) 8.48 km/h, 0% other lane, 0% off-road
Step 153 (9.6 FPS): Map Position (1744.0,888.0) Lane Orientation (-1.0,-0.0) 10.28 km/h, 0% other lane, 0% off-road
Step 154 (8.5 FPS): Map Position (1743.0,888.0) Lane Orientation (-1.0,-0.0) 11.71 km/h, 0% other lane, 0% off-road
Step 155 (8.4 FPS): Map Position (1741.0,888.0) Lane Orientation (-1.0,-0.0) 12.08 km/h, 0% other lane, 0% off-road
Step 156 (8.4 FPS): Map Position (1738.0,888.0) Lane Orientation (-1.0,-0.0) 12.68 km/h, 0% other lane, 0% off-road
Step 157 (8.4 FPS): Map Position (1736.0,888.0) Lane Orientation (-1.0,-0.0) 13.88 km/h, 0% other lane, 0% off-road
Step 158 (8.2 FPS): Map Position (1734.0,888.0) Lane Orientation (-1.0,-0.0) 15.31 km/h, 0% other lane, 0% off-road
Step 159 (8.6 FPS): Map Position (1731.0,888.0) Lane Orientation (-1.0,-0.0) 16.53 km/h, 0% other lane, 0% off-road
Step 160 (8.5 FPS): Map Position (1728.0,888.0) Lane Orientation (-1.0,-0.0) 16.48 km/h, 0% other lane, 0% off-road
Step 161 (9.9 FPS): Map Position (1726.0,888.0) Lane Orientation (-1.0,-0.0) 15.57 km/h, 0% other lane, 0% off-road
Step 162 (8.1 FPS): Map Position (1723.0,888.0) Lane Orientation (-1.0,-0.0) 14.54 km/h, 0% other lane, 0% off-road
Step 163 (8.2 FPS): Map Position (1721.0,888.0) Lane Orientation (-1.0,-0.0) 14.41 km/h, 0% other lane, 0% off-road
